replay,seed,swap,shop1,shop2,me_cash,opp_cash,error
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90040757-replay.py,418530308,0,PET_CAFE,YARN_STORE,123248.0,10405.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90040757-replay.py,418530308,1,PET_CAFE,PIZZA_SHOP,146471.0,5968.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109178340-replay.py,456735612,0,BRUNCH_SPOT,SMOOTHIE_SHOP,117073.0,119443.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109178340-replay.py,456735612,1,BRUNCH_SPOT,SMOOTHIE_SHOP,117073.0,119443.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90006283-replay.py,457353086,0,PIZZA_SHOP,SMOOTHIE_SHOP,169060.0,16379.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90006283-replay.py,457353086,1,PIZZA_SHOP,SMOOTHIE_SHOP,169060.0,16379.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90116469-replay.py,459522385,0,PET_CAFE,FARMERS_MARKET,180063.0,17107.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90116469-replay.py,459522385,1,PET_CAFE,FARMERS_MARKET,180597.0,17157.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90040783-replay.py,464101288,0,FARMERS_MARKET,ICE_CREAM_SHOP,180539.0,7329.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90040783-replay.py,464101288,1,FARMERS_MARKET,ICE_CREAM_SHOP,180539.0,7329.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90078313-replay.py,506692781,0,FARMERS_MARKET,BRUNCH_SPOT,157872.0,25551.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90078313-replay.py,506692781,1,FARMERS_MARKET,BRUNCH_SPOT,157872.0,25551.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183709-replay.py,542501871,0,PIZZA_SHOP,ICE_CREAM_SHOP,116015.0,146421.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183709-replay.py,542501871,1,PIZZA_SHOP,ICE_CREAM_SHOP,116015.0,146421.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183151-replay.py,561835411,0,PIZZA_SHOP,SMOOTHIE_SHOP,122531.0,78895.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183151-replay.py,561835411,1,PIZZA_SHOP,SMOOTHIE_SHOP,122531.0,78895.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90058713-replay.py,628147267,0,PIZZA_SHOP,ICE_CREAM_SHOP,148566.0,102089.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90058713-replay.py,628147267,1,PIZZA_SHOP,ICE_CREAM_SHOP,148534.0,102339.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184785-replay.py,669038416,0,ICE_CREAM_SHOP,BAKERY,89633.0,90519.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184785-replay.py,669038416,1,ICE_CREAM_SHOP,BAKERY,89633.0,90519.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109185859-replay.py,704201996,0,PIZZA_SHOP,BAKERY,74077.0,65991.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109185859-replay.py,704201996,1,PIZZA_SHOP,BAKERY,78644.0,65343.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90000495-replay.py,712707511,0,BAKERY,BAKERY,87906.0,1516.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90000495-replay.py,712707511,1,BAKERY,BAKERY,87906.0,1516.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89997847-replay.py,766232091,0,SMOOTHIE_SHOP,ICE_CREAM_SHOP,194864.0,37145.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89997847-replay.py,766232091,1,SMOOTHIE_SHOP,ICE_CREAM_SHOP,194864.0,37145.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89996569-replay.py,799208869,0,YARN_STORE,BRUNCH_SPOT,179388.0,21469.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89996569-replay.py,799208869,1,YARN_STORE,BRUNCH_SPOT,179388.0,21469.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181468-replay.py,807584888,0,FARMERS_MARKET,PET_CAFE,142341.0,0.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181468-replay.py,807584888,1,FARMERS_MARKET,PET_CAFE,142341.0,0.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90036688-replay.py,824300488,0,BAKERY,PIZZA_SHOP,133428.0,6153.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90036688-replay.py,824300488,1,BAKERY,PIZZA_SHOP,133428.0,6153.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184638-replay.py,825118386,0,SMOOTHIE_SHOP,PET_CAFE,79548.0,100283.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184638-replay.py,825118386,1,SMOOTHIE_SHOP,PET_CAFE,79548.0,100283.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109182456-replay.py,825926970,0,BRUNCH_SPOT,BAKERY,67725.0,71857.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109182456-replay.py,825926970,1,BRUNCH_SPOT,BAKERY,67725.0,71857.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109182542-replay.py,851241281,0,FARMERS_MARKET,BAKERY,82147.0,79629.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109182542-replay.py,851241281,1,FARMERS_MARKET,BAKERY,82147.0,79629.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90038044-replay.py,861559339,0,BAKERY,ICE_CREAM_SHOP,154332.0,37080.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90038044-replay.py,861559339,1,BAKERY,ICE_CREAM_SHOP,154332.0,37080.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90158870-replay.py,867045683,0,PET_CAFE,PIZZA_SHOP,147568.0,22.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90158870-replay.py,867045683,1,PET_CAFE,PIZZA_SHOP,147386.0,24.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90095343-replay.py,877230223,0,PIZZA_SHOP,ICE_CREAM_SHOP,168254.0,48317.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90095343-replay.py,877230223,1,PIZZA_SHOP,ICE_CREAM_SHOP,168254.0,48317.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181463-replay.py,891888961,0,YARN_STORE,PIZZA_SHOP,104747.0,114211.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181463-replay.py,891888961,1,YARN_STORE,PIZZA_SHOP,104747.0,114211.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184661-replay.py,907544017,0,BRUNCH_SPOT,SMOOTHIE_SHOP,100861.0,101094.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184661-replay.py,907544017,1,BRUNCH_SPOT,SMOOTHIE_SHOP,100861.0,101094.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90127960-replay.py,908611340,0,BAKERY,ICE_CREAM_SHOP,118311.0,31003.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90127960-replay.py,908611340,1,BAKERY,ICE_CREAM_SHOP,118311.0,31003.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90159578-replay.py,932584087,0,BRUNCH_SPOT,SMOOTHIE_SHOP,172977.0,26546.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90159578-replay.py,932584087,1,BRUNCH_SPOT,SMOOTHIE_SHOP,172977.0,26546.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186843-replay.py,948208718,0,ICE_CREAM_SHOP,SMOOTHIE_SHOP,108111.0,102134.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186843-replay.py,948208718,1,ICE_CREAM_SHOP,SMOOTHIE_SHOP,108111.0,102134.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90029970-replay.py,964751057,0,FARMERS_MARKET,PET_CAFE,154673.0,15446.0,
